"","Row_id","name","screen_size","specifications","model","price","rating","reviews"
"34",34,"Acer -","15.6","Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Granite Gray","CB3-532-C8DF",199,4.5,357
"35",35,"Dell - XPS","13.3","4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver With Black Carbon Fiber Palm Rest","XPS9370-7392SLV-PUS",1615.99,4.8,6
"36",36,"MSI -","15.6","Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 256GB Solid State Drive - Aluminum Black","GS63 STEALTH-010",1449.99,4.8,1956
"37",37,"Razer - Blade","15.6","Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 512GB Solid State Drive - Black","RZ09-02385E92-R3U1",2199.99,4.2,41
"38",38,"Lenovo - Yoga 920 2-in-1","13.9","4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - Platinum","80Y70010US",1649.99,4.4,346
"39",39,"Dell - Inspiron 2-in-1","15.6","Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Theoretical Gray","I5579-7961GRY-PUS",925.99,4.3,48
"40",40,"ASUS -","15.6","Laptop - Intel Pentium Silver - 4GB Memory - 1TB Hard Drive - Dark Brown, Gold","X540MADB22",349,1,1
"41",41,"Samsung - Notebook 5","15.6","Laptop - AMD Ryzen 5 - 8GB Memory - 1TB Hard Drive - Light Titan","NP550XTA-K01US",524.99,4.1,28
"42",42,"Dell -","15.6","4K Ultra HD Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 1060 Max-Q - 1TB HDD + 512GB SSD - Licorice Black","G5587-7634BLK-PUS",1429.99,4.3,8
"43",43,"Apple - MacBook Pro®  -","15","Display - Intel Core i7 - 16 GB Memory - 256GB Flash Storage - Space Gray","MPTR2LL/A",2199.99,4.8,1192
"44",44,"HP -","15.6","Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 128GB Solid State Drive - HP Finish In Natural Silver","15-DA0012DX",499.99,4.6,365
"45",45,"ASUS - ROG Strix Hero Edition","15.6","Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050Ti - 1TB+8GB SSHD + 128GB SSD","GL503GEES73",1249.99,4,1
"46",46,"Samsung - Chromebook 3","11.6","Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Metallic Black","XE500C13-K03US",160.99,4.6,1597
"47",47,"Apple - MacBook Pro® -","13.3","Display - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Space Gray","Z0UK9LL/A",2049.99,4.7,297
"48",48,"Acer - R 11 2-in-1","11.6","Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - White","CB5-132T-C8ZW",299,4.6,1708
"49",49,"ASUS - C300SA","13.3","Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Red","C300SADH02RD",229,4.4,43
"50",50,"Dell - XPS","13.3","4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 1TB SSD - Silver With Black Carbon Fiber Palm Rest","XPS9370-7040SLV-PUS",1799.99,4.1,9
"51",51,"Dell - XPS 2-in-1","13.3","Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver","XPS9365-7086SLV-PUS",1189.99,4.3,357
"52",52,"ASUS - VivoBook 15","15.6","Laptop - Intel Core i5 - 8GB Memory - 1TB + 8GB Hybrid Hard Drive - Black","X540UADB51",584.99,5,1
"53",53,"ASUS - ROG Strix Scar Edition","17.3","Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB SSHD + 256GB SSD - Black","GL703GMDS74",1537.99,3,2
"54",54,"Dell - Inspiron","15.6","Touch-Screen Laptop - Intel Core i7 - 32GB Memory - AMD Radeon 530 - 1TB Hard Drive - Platinum Silver","I5570-7807SLV-PUS",1160.99,5,1
"55",55,"Lenovo - 330-17IKB","17.3","Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Onyx Black","81DM001UUS",529.99,4.4,438
"56",56,"Samsung - Notebook 9 Pro","13.3","Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Titan Silver","NP940X3M-K01US",604.99,4.6,156
"57",57,"Microsoft - Surface Pro –","12.3","Touch-Screen – Intel Core m3 – 4GB Memory – 128GB Solid State Drive (Fifth Generation) - Silver","FJR-00001",799,4.6,34
"58",58,"MSI -","15.6","Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 128GB Solid State Drive - Aluminum Black","GE63 RAIDER RGB-012",1599.99,5,4
"59",59,"Gateway - Netbook / Intel® Atom™ Processor /","10.1","Display / 1GB Memory - River Black","LT2811U",149.99,4.1,14
"60",60,"ASUS - 2-in-1","14","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Sandblasted aluminum silver with chrome hinge","Q405UA-BI5T5",629.99,4,324
"61",61,"Dell - G7","15.6","Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1060 - 256GB Solid State Drive - Licorice Black","I7588-7385BLK-PUS",979.99,4.4,184
"62",62,"Lenovo - Yoga 920 2-in-1","13.9","4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - Bronze","80Y7002SUS",1749.99,4.4,346
"63",63,"Razer - Blade Pro","17.3","Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 2TB Hard Drive + 256GB SSD - Black","RZ09-02202E75-R3U1",2282.99,4.5,23
"64",64,"Apple - MacBook Air®  -","13.3","Display - Intel Core i5 - 8GB Memory - 128GB Flash Storage (Latest Model) - Silver","MQD32LL/A",999.99,4.8,5988
"65",65,"Apple - MacBook Pro® -","13","Display - Intel Core i5 - 8 GB Memory - 128GB Flash Storage - Space Gray","MPXQ2LL/A",1249.99,4.8,4162
"66",66,"HP - Pavilion x360 2-in-1","14","Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 500GB Hard Drive - Natural Silver, Ash Silver Vertical Brushed","14M-CD0001DX",499.99,4.5,237
"67",67,"Microsoft - Surface Go -","10","Touch-Screen - Intel Pentium Gold - 4GB Memory - 64GB Storage - Silver","MHN-00001",399,4.5,182
"68",68,"HP - ENVY 2-in-1","15.6","Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - AMD Radeon RX Vega 8 - 128GB Solid State Drive - HP Finish In Dark Ash","15M-CP0011DX",659.99,4.5,207
"69",69,"Lenovo - Yoga 720 2-in-1","12.5","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Iron Gray","81B5000KUS",599.99,4.3,395
"70",70,"HP - Pavilion x360 2-in-1","11.6","Touch-Screen Laptop - Intel Pentium - 4GB Memory - 500GB Hard Drive - HP Finish In Natural Silver","11M-AD113DX",399.99,4.1,136
"71",71,"Apple - MacBook Pro® -","13","Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage - Space Gray","MPXT2LL/A",1449.99,4.8,3340
"72",72,"HP - ENVY x360 2-in-1","15.6","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - HP Finish In Natural Silver","15M-CN0011DX",849.99,4.7,418
"73",73,"HP -","14","Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Grey","14-CA061DX",299,4.5,240
"74",74,"Apple - MacBook Pro -","13","Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD(Latest Model) - Space Gray","MR9Q2LL/A",1799.99,4.8,306
"75",75,"Dell - Inspiron","15.6","Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 1TB Hard Drive - Platinum Silver","I5575-A214SLV-PUS",529.99,4.1,101
"76",76,"Lenovo - Yoga 730 2-in-1","13.3","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Platinum","81CT0008US",829.99,4.2,481
"77",77,"HP - Spectre x360 2-in-1","13.3","4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - HP finish in dark ash silver","13-AE013DX",1349.99,4.5,494
"78",78,"Apple - MacBook Air® (Latest Model) -","13.3","Display - Intel Core i5 - 8GB Memory - 256GB Flash Storage - Silver","MQD42LL/A",1199.99,4.8,2470
"79",79,"Microsoft - Surface Pro –","12.3","Touch-Screen – Intel Core i5 – 8GB Memory – 256GB Solid State Drive (Fifth Generation) - Silver","FJX-00001",999,4.7,747
"80",80,"ASUS - 2-in-1","15.6","Touch-Screen Laptop - Intel Core i5 - 12GB Memory - 1TB Hard Drive - Sandblasted aluminum silver with chrome hinge","Q505UA-BI5T7",829.99,4.4,374
"81",81,"HP - Pavilion x360 2-in-1","14","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - HP Sand Blast Matte In Pale Gold Natural Silver","14M-CD0003DX",729.99,4.6,238
"82",82,"Microsoft - Surface Pro -","12.3","Touch-Screen - Intel Core i5 - 8GB Memory / 128 GB Solid State Drive (Fifth Generation) - Silver","KJR-00001",699,4.7,194
"83",83,"HP - Envy","17.3","Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce MX150 - 1TB Hard Drive - HP Finish In Natural Silver","17M-BW0013DX",1049.99,4.7,206
"84",84,"Dell - Inspiron","15.6","Laptop - Intel Pentium - 4GB Memory - 500GB Hard Drive - Black","I3573-P269BLK-PUS",279.99,4.1,100
"85",85,"Apple - MacBook Pro -","15","Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 560X - 512GB SSD (Latest Model) - Space Gray","MR942LL/A",2799.99,4.7,116
"86",86,"Dell - Inspiron","11.6","Laptop - AMD A6 - 4GB Memory - 32GB eMMC Flash Memory - Gray","I3180-A361GRY-PUS",199.99,4,613
"87",87,"HP - ENVY x360 2-in-1","13.3","Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 128GB Solid State Drive - HP Finish In Dark Ash Silver","13M-AG0001DX",679.99,4.4,106
"88",88,"HP - Stream","14","Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Textured Linear Grooves In Smoke Gray","14-CB112DX",249.99,4.4,45
